,title,year,genre,description,score,soup
495,the usual suspects,1995,"crime, mystery, thriller","A sole survivor tells of the twisty events leading up to a horrific gun battle on a boat, which began when five criminals met at a seemingly random police lineup.",8.31924837102603,"the usual suspects english, hungarian, spanish, french bryan singer crime, mystery, thriller stephen baldwin, gabriel byrne, benicio del toro, kevin pollak, kevin spacey, chazz palminteri, pete postlethwaite, suzy amis, giancarlo esposito, dan hedaya, paul bartel, carl bressler, phillipe simon, jack shearer, christine estabrook"
496,waterworld,1995,"action, adventure, sci-fi","In a future where the polar ice-caps have melted and Earth is almost entirely submerged, a mutated mariner fights starvation and outlaw ""smokers,"" and reluctantly helps a woman and a young girl try to find dry land.",6.120240959179421,"waterworld english kevin reynolds action, adventure, sci-fi kevin costner, chaim jeraffi, rick aviles, r.d. call, zitto kazann, leonardo cimino, zakes mokae, luke ka'ili jr., anthony demasters, willy petrovic, jack kehler, jeanne tripplehorn, lanny flaherty, robert a. silverman, gerard murphy"
497,while you were sleeping,1995,"comedy, drama, romance",A hopeless romantic Chicago Transit Authority token collector is mistaken for the fiancée of a coma patient.,6.352064261249254,"while you were sleeping english jon turteltaub comedy, drama, romance sandra bullock, bill pullman, peter gallagher, peter boyle, jack warden, glynis johns, micole mercurio, jason bernard, michael rispoli, ally walker, monica keena, ruth rudnick, marcia wright, dick cusack, thomas q. morris"
498,101 dalmatians,1996,"adventure, comedy, crime","An evil high-fashion designer plots to steal Dalmatian puppies in order to make an extravagant fur coat, but instead creates an extravagant mess.",5.7963403884879945,"101 dalmatians english, spanish stephen herek adventure, comedy, crime glenn close, jeff daniels, joely richardson, joan plowright, hugh laurie, mark williams, john shrapnel, tim mcinnerny, hugh fraser, zohren weiss, mark haddigan, michael percival, neville phillips, john evans, hilda braid"
499,the birdcage,1996,comedy,A gay cabaret owner and his drag queen companion agree to put up a false straight front so that their son can introduce them to his fiancée's right-wing moralistic parents.,6.531407441403543,"the birdcage english mike nichols comedy robin williams, gene hackman, nathan lane, dianne wiest, dan futterman, calista flockhart, hank azaria, christine baranski, tom mcgowan, grant heslov, kirby mitchell, james lally, luca tommassini, luis camacho, andré fuentes"
500,broken arrow,1996,"action, adventure, thriller",Terrorists steal nuclear warheads from the U.S. military but don't count on a pilot and park ranger spoiling their plans.,5.967224199039215,"broken arrow english john woo action, adventure, thriller john travolta, christian slater, samantha mathis, delroy lindo, bob gunton, frank whaley, howie long, vondie curtis-hall, jack thompson, vyto ruginis, ousaun elam, shaun toub, casey biggs, jeffrey stephan, joey box"
501,the cable guy,1996,"comedy, drama, thriller","A lonely and mentally disturbed cable guy raised on television just wants a new friend, but his target, a designer, rejects him, with bad consequences.",6.043222657692741,"the cable guy english, french ben stiller comedy, drama, thriller jim carrey, matthew broderick, leslie mann, jack black, george segal, diane baker, ben stiller, eric roberts, janeane garofalo, andy dick, harry o'reilly, david cross, amy stiller, owen wilson, keith gibbs"
502,the craft,1996,"drama, fantasy, horror","A newcomer to a Catholic prep high school falls in with a trio of outcast teenage girls who practice witchcraft, and they all soon conjure up various spells and curses against those who anger them.",6.1136377483170445,"the craft english, french andrew fleming drama, fantasy, horror robin tunney, fairuza balk, neve campbell, rachel true, skeet ulrich, christine taylor, breckin meyer, nathaniel marston, cliff de young, assumpta serna, helen shaver, jeanine jackson, brenda strong, elizabeth guber, jennifer greenhut"
503,dragonheart,1996,"action, adventure, fantasy","The last dragon and a disillusioned dragonslaying Knight must cooperate to stop an evil King, who was given partial immortality.",6.244933909648197,"dragonheart english rob cohen action, adventure, fantasy dennis quaid, david thewlis, pete postlethwaite, dina meyer, jason isaacs, brian thompson, lee oakes, wolf christian, terry o'neill, eva vejmelková, milan bahúl, peter hric, sandra kovacicova, kyle cohen, thom baker"
504,the english patient,1996,"drama, romance, war","At the close of WWII, a young nurse tends to a badly-burned plane crash victim. His past is shown in flashbacks, revealing an involvement in a fateful love affair.",6.967334767585067,"the english patient english, german, italian, arabic anthony minghella drama, romance, war ralph fiennes, juliette binoche, willem dafoe, kristin scott thomas, naveen andrews, colin firth, julian wadham, jürgen prochnow, kevin whately, clive merrison, nino castelnuovo, hichem rostom, peter rühring, geordie johnson, torri higginson"
505,eraser,1996,"action, drama, thriller",A Witness Protection specialist becomes suspicious of his co-workers when dealing with a case involving high-tech weapons.,6.027977308090904,"eraser english chuck russell action, drama, thriller arnold schwarzenegger, james caan, vanessa williams, james coburn, robert pastorelli, james cromwell, danny nucci, andy romano, nick chinlund, michael papajohn, joe viterelli, mark rolston, john slattery, robert miranda, roma maffia"
506,fargo,1996,"crime, drama, thriller",Jerry Lundegaard's inept crime falls apart due to his and his henchmen's bungling and the persistent police work of the quite pregnant Marge Gunderson.,7.8634551009924145,"fargo english joel coen, ethan coen crime, drama, thriller william h. macy, steve buscemi, peter stormare, kristin rudrüd, harve presnell, tony denman, gary houston, sally wingert, kurt schweickhardt, larissa kokernot, melissa peterman, steve reevis, warren keith, steve edelman, sharon anderson"
507,the frighteners,1996,"comedy, fantasy, horror","After a tragic car accident that kills his wife, a man discovers he can communicate with the dead to con people. However, when a demonic spirit appears, he may be the only one who can stop it from killing the living and the dead.",6.545036655391033,"the frighteners english peter jackson comedy, fantasy, horror michael j. fox, trini alvarado, peter dobson, john astin, jeffrey combs, dee wallace, jake busey, chi mcbride, jim fyfe, troy evans, julianna mccarthy, r. lee ermey, elizabeth hawthorne, angela bloomfield, desmond kelly"
508,from dusk till dawn,1996,"action, crime, horror","Two criminals and their hostages unknowingly seek temporary refuge in a truck stop populated by vampires, with chaotic results.",6.937022449680177,"from dusk till dawn english, spanish robert rodriguez action, crime, horror george clooney, quentin tarantino, harvey keitel, juliette lewis, ernest liu, salma hayek, cheech marin, danny trejo, tom savini, fred williamson, michael parks, brenda hillhouse, john saxon, marc lawrence, kelly preston"
509,happy gilmore,1996,"comedy, sport",A rejected hockey player puts his skills to the golf course to save his grandmother's house.,6.703964109499033,"happy gilmore english dennis dugan comedy, sport adam sandler, christopher mcdonald, julie bowen, frances bay, carl weathers, allen covert, robert smigel, bob barker, richard kiel, dennis dugan, joe flaherty, lee trevino, kevin nealon, verne lundquist, jared van snellenberg"
510,the hunchback of notre dame,1996,"animation, drama, family","A deformed bell-ringer must assert his independence from a vicious government minister in order to help his friend, a gypsy dancer.",6.560880350533356,"the hunchback of notre dame english, latin gary trousdale, kirk wise animation, drama, family jason alexander, mary kay bergman, corey burton, jim cummings, bill fagerbakke, tom hulce, tony jay, paul kandel, charles kimbrough, kevin kline, heidi mollenhauer, demi moore, patrick pinney, gary trousdale, david ogden stiers"
511,independence day,1996,"action, adventure, sci-fi","The aliens are coming and their goal is to invade and destroy Earth. Fighting superior technology, mankind's best weapon is the will to survive.",6.868861482545318,"independence day english roland emmerich action, adventure, sci-fi will smith, bill pullman, jeff goldblum, mary mcdonnell, judd hirsch, robert loggia, randy quaid, margaret colin, james rebhorn, harvey fierstein, adam baldwin, brent spiner, james duval, vivica a. fox, lisa jakub"
512,jerry maguire,1996,"comedy, drama, romance","When a sports agent has a moral epiphany and is fired for expressing it, he decides to put his new philosophy to the test as an independent agent with the only athlete who stays with him and his former secretary.",6.975664360206035,"jerry maguire english, american sign language cameron crowe comedy, drama, romance tom cruise, cuba gooding jr., renée zellweger, kelly preston, jerry o'connell, jay mohr, bonnie hunt, regina king, jonathan lipnicki, todd louiso, mark pellington, jeremy suarez, jared jussim, benjamin kimball smith, ingrid beer"
513,jingle all the way,1996,"comedy, family","A father vows to get his son a Turbo Man action figure for Christmas. However, every store is sold out of them, and he must travel all over town and compete with everybody else in order to find one.",5.7474827539186855,"jingle all the way english brian levant comedy, family arnold schwarzenegger, sinbad, phil hartman, rita wilson, robert conrad, martin mull, jake lloyd, jim belushi, e.j. de la pena, laraine newman, justin chapman, harvey korman, richard moll, daniel riordan, jeff l. deist"
514,kingpin,1996,"comedy, sport","A star bowler whose career was prematurely ""cut off"" hopes to ride a new prodigy to success and riches.",6.422744833042223,"kingpin english bobby farrelly, peter farrelly comedy, sport woody harrelson, randy quaid, vanessa angel, bill murray, chris elliott, william jordan, richard tyson, lin shaye, zen gesner, prudence wright holmes, rob moran, daniel greene, will rothhaar, mark charpentier, brad faxon"
515,lost highway,1997,"mystery, thriller","After a bizarre encounter at a party, a jazz saxophonist is framed for the murder of his wife and sent to prison, where he inexplicably morphs into a young mechanic and begins leading a new life.",6.9868837371390065,"lost highway english david lynch mystery, thriller bill pullman, patricia arquette, john roselius, louis eppolito, jenna maetlind, michael massee, robert blake, henry rollins, michael shamus wiles, mink stole, leonard termo, ivory ocean, jack kehler, david byrd, gene ross"
516,mars attacks!,1996,"comedy, sci-fi",Earth is invaded by Martians with unbeatable weapons and a cruel sense of humor.,6.203111095030775,"mars attacks! english, french tim burton comedy, sci-fi jack nicholson, glenn close, annette bening, pierce brosnan, danny devito, martin short, sarah jessica parker, michael j. fox, rod steiger, tom jones, lukas haas, natalie portman, jim brown, lisa marie, sylvia sidney"
517,matilda,1996,"comedy, family, fantasy","Story of a wonderful little girl, who happens to be a genius, and her wonderful teacher vs. the worst parents ever and the worst school principal imaginable.",6.532176269095457,"matilda english danny devito comedy, family, fantasy mara wilson, danny devito, rhea perlman, embeth davidtz, pam ferris, paul reubens, tracey walter, brian levinson, jean speegle howard, sara magdalin, r.d. robb, gregory r. goliath, fred parnes, kiami davael, leor livneh hackel"
518,mission: impossible,1996,"action, adventure, thriller","An American agent, under false suspicion of disloyalty, must discover and expose the real spy without the help of his organization.",6.911220033740034,"mission: impossible english, french, czech brian de palma action, adventure, thriller tom cruise, jon voight, emmanuelle béart, henry czerny, jean reno, ving rhames, kristin scott thomas, vanessa redgrave, ingeborga dapkunaite, valentina yakunina, marek vasut, nathan osgood, john mclaughlin, rolf saxon, karel dobrý"
519,the nutty professor,1996,"comedy, romance, sci-fi",Grossly overweight yet good-hearted professor Sherman Klump takes a special chemical that turns him into the slim but obnoxious Buddy Love.,5.731743114491883,"the nutty professor english tom shadyac comedy, romance, sci-fi eddie murphy, jada pinkett smith, james coburn, larry miller, dave chappelle, john ales, patricia wilson, jamal mixon, nichole mcauley, hamilton von watts, chao li chi, tony carlin, quinn duffy, montell jordan, doug williams"
520,the people vs. larry flynt,1996,"biography, drama",The story of a controversial pornography publisher and how he became a defender of free speech.,6.674056600245837,"the people vs. larry flynt english milos forman biography, drama woody harrelson, courtney love, edward norton, brett harrelson, donna hanover, james cromwell, crispin glover, vincent schiavelli, miles chapin, james carville, richard paul, burt neuborne, jan tríska, cody block, ryan post"
521,phenomenon,1996,"drama, fantasy, romance","An ordinary man sees a bright light descend from the sky, and discovers he now has super-intelligence and telekinesis.",6.16620851021608,"phenomenon english jon turteltaub drama, fantasy, romance john travolta, kyra sedgwick, forest whitaker, robert duvall, jeffrey demunn, richard kiley, david gallagher, ashley buccille, tony genaro, sean o'bryan, michael milhoan, troy evans, bruce a. young, vyto ruginis, brent spiner"
522,primal fear,1996,"crime, drama, mystery","An altar boy is accused of murdering a priest, and the truth is buried several layers deep.",7.179310034134864,"primal fear english, spanish gregory hoblit crime, drama, mystery richard gere, laura linney, john mahoney, alfre woodard, frances mcdormand, edward norton, terry o'quinn, andre braugher, steven bauer, joe spano, tony plana, stanley anderson, maura tierney, jon seda, reg rogers"
523,ransom,1996,"action, crime, thriller","Multimillionaire, Tom Mullen's beloved son is kidnapped. He cooperates at first, but then turns the tables on the kidnappers and decides to take matters into his own hands.",6.3419380339889235,"ransom english ron howard action, crime, thriller mel gibson, rene russo, brawley nolte, gary sinise, delroy lindo, lili taylor, liev schreiber, donnie wahlberg, evan handler, nancy ticotin, michael gaston, kevin neil mccready, paul guilfoyle, allen bernstein, josé zúñiga"
524,the rock,1996,"action, adventure, thriller","A mild-mannered chemist and an ex-con must lead the counterstrike when a rogue group of military men, led by a renegade general, threaten a nerve gas attack from Alcatraz against San Francisco.",7.119040841119803,"the rock english michael bay action, adventure, thriller sean connery, nicolas cage, ed harris, john spencer, david morse, william forsythe, michael biehn, vanessa marcil, john c. mcginley, gregory sporleder, tony todd, bokeem woodbine, jim maniaci, greg collins, brendan kelly"
525,romeo + juliet,1996,"drama, romance",Shakespeare's famous play is updated to the hip modern suburb of Verona still retaining its original dialogue.,6.498589850043644,"romeo + juliet english baz luhrmann drama, romance leonardo dicaprio, claire danes, john leguizamo, harold perrineau, pete postlethwaite, paul sorvino, brian dennehy, paul rudd, vondie curtis-hall, miriam margolyes, jesse bradford, m. emmet walsh, zak orth, jamie kennedy, dash mihok"
526,scream,1996,"horror, mystery","A year after the murder of her mother, a teenage girl is terrorized by a new killer, who targets the girl and her friends by using horror films as part of a deadly game.",6.936197610522453,"scream english wes craven horror, mystery drew barrymore, roger jackson, kevin patrick walls, david booth, carla hatley, neve campbell, skeet ulrich, lawrence hecht, courteney cox, w. earl brown, rose mcgowan, lois saunders, david arquette, joseph whipp, matthew lillard"
527,sleepers,1996,"crime, drama, thriller","After a prank goes disastrously wrong, a group of boys are sent to a detention center where they are brutalized. Thirteen years later, they get their chance for revenge.",7.126825547526925,"sleepers english barry levinson crime, drama, thriller kevin bacon, billy crudup, robert de niro, ron eldard, minnie driver, vittorio gassman, dustin hoffman, terry kinney, bruno kirby, frank medrano, jason patric, joe perrino, brad pitt, brad renfro, geoffrey wigdor"
528,sling blade,1996,drama,"Karl Childers, a simple man hospitalized since his childhood murder of his mother and her lover, is released to start a new life in a small town.",7.050485527217589,"sling blade english billy bob thornton drama billy bob thornton, dwight yoakam, j.t. walsh, john ritter, lucas black, natalie canerday, james hampton, robert duvall, rick dial, brent briscoe, christine renee ward, sarah boss, kathy sue brown, wendell rafferty, bruce hampton"
529,space jam,1996,"animation, adventure, comedy","In a desperate attempt to win a basketball match and earn their freedom, the Looney Tunes seek the aid of retired basketball champion, Michael Jordan.",6.24621038406851,"space jam english joe pytka animation, adventure, comedy michael jordan, wayne knight, theresa randle, manner washington, eric gordon, penny bae bridges, brandon hammond, larry bird, bill murray, thom barry, charles barkley, patrick ewing, tyrone bogues, larry johnson, shawn bradley"
530,star trek: first contact,1996,"action, adventure, drama",The Borg travel back in time intent on preventing Earth's first contact with an alien species. Captain Picard and his crew pursue them to ensure that Zefram Cochrane makes his maiden flight reaching warp speed.,6.956070484115209,"star trek: first contact english jonathan frakes action, adventure, drama patrick stewart, jonathan frakes, brent spiner, levar burton, michael dorn, gates mcfadden, marina sirtis, alfre woodard, james cromwell, alice krige, michael horton, neal mcdonough, marnie mcphail, robert picardo, dwight schultz"
531,swingers,1996,"comedy, drama",Wannabe actors become regulars in the stylish neo-lounge scene; Trent teaches his friend Mike the unwritten rules of the scene.,6.571926045701173,"swingers english doug liman comedy, drama jon favreau, vince vaughn, ron livingston, patrick van horn, alex désert, heather graham, deena martin, katherine kendall, brooke langton, blake lindsley, kevin james kelly, stephanie ittleson, vernon vaughn, joan favreau, rio hackford"
532,a time to kill,1996,"crime, drama, thriller","In Canton, Mississippi, a fearless young lawyer and his assistant defend a black man accused of murdering two white men who raped his ten-year-old daughter, inciting violent retribution and revenge from the Ku Klux Klan.",6.925553800417378,"a time to kill english joel schumacher crime, drama, thriller matthew mcconaughey, sandra bullock, samuel l. jackson, kevin spacey, oliver platt, charles s. dutton, brenda fricker, donald sutherland, kiefer sutherland, patrick mcgoohan, ashley judd, tonea stewart, raéven kelly, darrin mitchell, laconte mcgrew"
533,trainspotting,1996,drama,"Renton, deeply immersed in the Edinburgh drug scene, tries to clean up and get out, despite the allure of the drugs and influence of friends.",7.8729268772869085,"trainspotting english danny boyle drama ewan mcgregor, ewen bremner, jonny lee miller, kevin mckidd, robert carlyle, kelly macdonald, peter mullan, james cosmo, eileen nicholas, susan vidler, pauline lynch, shirley henderson, stuart mcquarrie, irvine welsh, dale winton"
534,twister,1996,"action, adventure, thriller","Bill and Jo Harding, advanced storm chasers on the brink of divorce, must join together to create an advanced weather alert system by putting themselves in the cross-hairs of extremely violent tornadoes.",6.258825252394479,"twister english jan de bont action, adventure, thriller helen hunt, bill paxton, cary elwes, jami gertz, philip seymour hoffman, lois smith, alan ruck, sean whalen, scott thomson, todd field, joey slotnick, wendle josepher, jeremy davies, zach grenier, gregory sporleder"
535,air force one,1997,"action, drama, thriller","Communist Radicals hijack Air Force One with The U.S. President and his family on board. The Vice President negotiates from Washington D.C., while the President, a Veteran, fights to rescue the hostages on board.",6.332755985214215,"air force one english, russian wolfgang petersen action, drama, thriller harrison ford, gary oldman, glenn close, wendy crewson, liesel matthews, paul guilfoyle, xander berkeley, william h. macy, dean stockwell, tom everett, jürgen prochnow, donna bullock, michael ray miller, carl weintraub, elester latham"
536,alien resurrection,1997,"action, horror, sci-fi","200 years after her death, Ellen Ripley is revived as a powerful human/alien hybrid clone. Along with a crew of space pirates, she must again battle the deadly aliens and stop them from reaching Earth.",6.132909643840445,"alien resurrection english jean-pierre jeunet action, horror, sci-fi sigourney weaver, winona ryder, dominique pinon, ron perlman, gary dourdan, michael wincott, kim flowers, dan hedaya, j.e. freeman, brad dourif, raymond cruz, leland orser, carolyn campbell, marlene bush, david st. james"
537,anaconda,1997,"action, adventure, horror","A ""National Geographic"" film crew is taken hostage by an insane hunter, who forces them along on his quest to capture the world's largest - and deadliest - snake.",5.295234458638753,"anaconda english luis llosa action, adventure, horror jennifer lopez, ice cube, jon voight, eric stoltz, jonathan hyde, owen wilson, kari wuhrer, vincent castellanos, danny trejo, frank welker"
538,anastasia,1997,"animation, adventure, drama","The last surviving child of the Russian Royal Family joins two con men to reunite with her grandmother, the Dowager Empress, while the undead Rasputin seeks her death.",6.62981091073936,"anastasia english, russian, french don bluth, gary goldman animation, adventure, drama meg ryan, john cusack, kelsey grammer, christopher lloyd, hank azaria, bernadette peters, kirsten dunst, angela lansbury, rick jones, andrea martin, glenn walker harris jr., debra mooney, arthur malet, charity james, liz callaway"
539,austin powers: international man of mystery,1997,"adventure, comedy","A 1960s secret agent is brought out of cryofreeze to oppose his greatest enemy in the 1990s, where his social attitudes are glaringly out of place.",6.731876544647047,"austin powers: international man of mystery english jay roach adventure, comedy mike myers, elizabeth hurley, michael york, mimi rogers, robert wagner, seth green, fabiana udenio, mindy sterling, paul dillon, charles napier, will ferrell, joann richter, anastasia sakelaris, afifi alaouie, monet mazur"
540,batman & robin,1997,"action, sci-fi",Batman and Robin try to keep their relationship together even as they must stop Mr. Freeze and Poison Ivy from freezing Gotham City.,4.233220494747177,"batman & robin english joel schumacher action, sci-fi arnold schwarzenegger, george clooney, chris o'donnell, uma thurman, alicia silverstone, michael gough, pat hingle, john glover, elle macpherson, vivica a. fox, vendela kirsebom thomessen, elizabeth sanders, jeep swenson, john fink, michael reid mackay"
541,bean,1997,"adventure, comedy, family",The bumbling Mr. Bean travels to America when he is given the responsibility of bringing a highly valuable painting to a Los Angeles museum.,6.251151652804241,"bean english mel smith adventure, comedy, family rowan atkinson, peter macnicol, john mills, pamela reed, harris yulin, burt reynolds, larry drake, danny goldring, johnny galecki, chris ellis, andrew lawrence, peter egan, peter capaldi, june brown, peter james"
542,faa yeung nin wa,2000,"drama, romance","Two neighbors, a woman and a man, form a strong bond after both suspect extramarital activities of their spouses. However, they agree to keep their bond platonic so as not to commit similar wrongs.",7.252540438944074,"faa yeung nin wa cantonese, shanghainese, french, spanish kar-wai wong drama, romance maggie cheung, tony chiu-wai leung, ping lam siu, tung cho 'joe' cheung, rebecca pan, kelly lai chen, man-lei chan, kam-wah koo, szu-ying chien, paulyn sun, roy cheung, po-chun chow, hsien yu"
543,the big lebowski,1998,"comedy, crime, sport","Jeff ""The Dude"" Lebowski, mistaken for a millionaire of the same name, seeks restitution for his ruined rug and enlists his bowling buddies to help get it.",7.896568407871112,"the big lebowski english, german, hebrew, spanish joel coen, ethan coen comedy, crime, sport jeff bridges, john goodman, julianne moore, steve buscemi, david huddleston, philip seymour hoffman, tara reid, philip moon, mark pellegrino, peter stormare, flea, torsten voges, jimmie dale gilmore, jack kehler, john turturro"
544,boogie nights,1997,drama,The story of a young man's adventures in the California pornography industry of the late 1970s and early 1980s.,7.429367999313401,"boogie nights english paul thomas anderson drama luis guzmán, burt reynolds, julianne moore, rico bueno, john c. reilly, nicole ari parker, don cheadle, heather graham, mark wahlberg, william h. macy, samson barkhordarian, nina hartley, brad braeden, joanna gleason, lawrence hudd"
545,la vita è bella,1997,"comedy, drama, romance","When an open-minded Jewish librarian and his son become victims of the Holocaust, he uses a perfect mixture of will, humor, and imagination to protect his son from the dangers around their camp.",8.307399654440905,"la vita è bella italian, german, english roberto benigni comedy, drama, romance roberto benigni, nicoletta braschi, giorgio cantarini, giustino durano, sergio bini bustric, marisa paredes, horst buchholz, lidia alfonsi, giuliana lojodice, amerigo fontani, pietro de silva, francesco guzzo, raffaella lebboroni, claudio alfonsi, gil baroni"
546,chasing amy,1997,"comedy, drama, romance","Holden and Banky are comic book artists. Everything's going good for them until they meet Alyssa, also a comic book artist. Holden falls for her, but his hopes are crushed when he finds out she's a lesbian.",6.747075025415592,"chasing amy english kevin smith comedy, drama, romance ethan suplee, ben affleck, scott mosier, jason lee, casey affleck, dwight ewell, joey lauren adams, guinevere turner, carmen llywelyn, brian o'halloran, matt damon, alexander goebbel, tony torn, rebecca waxman, paris petrick"
547,con air,1997,"action, crime, thriller",Newly paroled ex-con and former U.S. Ranger Cameron Poe finds himself trapped in a prisoner transport plane when the passengers seize control.,6.694401615986553,"con air english, spanish simon west action, crime, thriller colm meaney, mykelti williamson, nick chinlund, renoly santiago, john malkovich, ving rhames, dave chappelle, rachel ticotin, steve eastin, steve buscemi, danny trejo, m.c. gainey, landry allbright, john cusack, monica potter"
548,conspiracy theory,1997,"action, mystery, thriller","A man obsessed with conspiracy theories becomes a target after one of his theories turns out to be true. Unfortunately, in order to save himself, he has to figure out which theory it is.",6.359149382812662,"conspiracy theory english richard donner action, mystery, thriller mel gibson, julia roberts, patrick stewart, cylk cozart, steve kahan, terry alexander, alex mcarthur, rod mclachlan, michael potts, jim sterling, rich hebert, brian j. williams, g.a. aguilar, cece neber labao, saxon trainor"
549,contact,1997,"drama, mystery, sci-fi","Dr. Ellie Arroway (Jodie Foster), after years of searching, finds conclusive radio proof of extraterrestrial intelligence, sending plans for a mysterious machine.",7.066691079868006,"contact english, spanish, german, russian robert zemeckis drama, mystery, sci-fi jena malone, david morse, jodie foster, geoffrey blake, william fichtner, sami chester, timothy mcneil, laura elena surillo, matthew mcconaughey, tom skerritt, henry strozier, max martini, larry king, thomas garner, conroy chino"
550,cop land,1997,"crime, drama, thriller","The Sheriff of a suburban New Jersey community, populated by New York City police officers, slowly discovers the town is a front for mob connections and corruption.",6.448333129732154,"cop land english james mangold crime, drama, thriller sylvester stallone, harvey keitel, ray liotta, robert de niro, peter berg, janeane garofalo, robert patrick, michael rapaport, annabella sciorra, noah emmerich, cathy moriarty, john spencer, frank vincent, malik yoba, arthur j. nascarella"
551,dante's peak,1997,"action, adventure, thriller","A vulcanologist arrives at a countryside town recently named the second most desirable place to live in America, and discovers that the long dormant volcano, Dante's Peak, may wake up at any moment.",5.9127680266061216,"dante's peak english roger donaldson action, adventure, thriller pierce brosnan, linda hamilton, jamie renée smith, jeremy foley, elizabeth hoffman, charles hallahan, grant heslov, kirk trutner, arabella field, tzi ma, brian reddy, lee garlington, bill bolender, carole androsky, peter jason"
552,dark city,1998,"mystery, sci-fi, thriller","A man struggles with memories of his past, which includes a wife he cannot remember, and a nightmarish world without a sun.",7.1303037991043965,"dark city english alex proyas mystery, sci-fi, thriller rufus sewell, william hurt, kiefer sutherland, jennifer connelly, richard o'brien, ian richardson, bruce spence, colin friels, john bluthal, mitchell butel, melissa george, frank gallacher, ritchie singer, justin monjo, nicholas bell"
553,the devil's advocate,1997,"drama, mystery, thriller",An exceptionally adept Florida lawyer is offered a job at a high-end New York City law firm with a high-end boss - the biggest opportunity of his career to date.,7.208486756120914,"the devil's advocate english, german, italian, mandarin, spanish taylor hackford drama, mystery, thriller keanu reeves, al pacino, charlize theron, jeffrey jones, judith ivey, connie nielsen, craig t. nelson, tamara tunie, ruben santiago-hudson, debra monk, vyto ruginis, laura harrington, pamela gray, george wyner, chris bauer"
554,doctor dolittle,1998,"comedy, family, fantasy",A doctor discovers that he can communicate with animals.,5.634643081650874,"doctor dolittle english betty thomas comedy, family, fantasy eddie murphy, ossie davis, oliver platt, peter boyle, richard schiff, kristen wilson, jeffrey tambor, kyla pratt, raven-symoné, steven gilborn, erik dellums, june christopher, cherie franklin, mark adair-rios, don calfa"
555,donnie brasco,1997,"biography, crime, drama","An FBI undercover agent infiltrates the mob and finds himself identifying more with the mafia life, at the expense of his regular one.",7.322317760746003,"donnie brasco english, italian, japanese mike newell biography, crime, drama al pacino, johnny depp, michael madsen, bruno kirby, james russo, anne heche, zeljko ivanek, gerry becker, robert miano, brian tarantina, rocco sisto, zach grenier, walt macpherson, ronnie farer, terry serpico"
556,event horizon,1997,"horror, sci-fi, thriller",A rescue crew investigates a spaceship that disappeared into a black hole and has now returned...with someone or something new on-board.,6.450007240218326,"event horizon english, latin paul w.s. anderson horror, sci-fi, thriller laurence fishburne, sam neill, kathleen quinlan, joely richardson, richard t. jones, jack noseworthy, jason isaacs, sean pertwee, peter marinker, holley chant, barclay wright, noah huntley, robert jezek"
557,face/off,1997,"action, crime, sci-fi","In order to foil a terrorist plot, an FBI agent undergoes a facial transplant surgery and assumes the identity and physical appearance of a terrorist, but the plan turns from bad to worse when the same terrorist impersonates the FBI agent.",7.060561689040185,"face/off english, latin john woo action, crime, sci-fi john travolta, nicolas cage, joan allen, alessandro nivola, gina gershon, dominique swain, nick cassavetes, harve presnell, colm feore, john carroll lynch, cch pounder, robert wisdom, margaret cho, james denton, matt ross"
558,fallen,1998,"action, crime, drama","Homicide detective John Hobbes witnesses the execution of serial killer Edgar Reese. Soon after the execution the killings start again, and they are very similar to Reese's style.",6.463294079824303,"fallen english, syriac, assyrian neo-aramaic gregory hoblit action, crime, drama denzel washington, john goodman, donald sutherland, embeth davidtz, james gandolfini, elias koteas, gabriel casseus, michael j. pagan, robert joy, frank medrano, ronn munro, cynthia hayden, ray xifo, tony michael donnelly, tara carnes"
559,the fifth element,1997,"action, adventure, sci-fi","In the colorful future, a cab driver unwittingly becomes the central figure in the search for a legendary cosmic weapon to keep Evil and Mr. Zorg at bay.",7.441535982132744,"the fifth element english, swedish, german, arabic, egyptian (ancient) luc besson action, adventure, sci-fi bruce willis, gary oldman, ian holm, milla jovovich, chris tucker, luke perry, brion james, tommy 'tiny' lister, lee evans, charlie creed-miles, tricky, john neville, john bluthal, mathieu kassovitz, christopher fairbank"
560,flubber,1997,"comedy, family, sci-fi","An absent-minded professor discovers ""flubber,"" a rubber-like super-bouncy substance.",5.593182090897237,"flubber english les mayfield comedy, family, sci-fi robin williams, marcia gay harden, christopher mcdonald, ted levine, clancy brown, raymond j. barry, wil wheaton, edie mcclurg, jodi benson, leslie stefanson, malcolm brownson, benjamin brock, dakin matthews, zack zeigler, sam lloyd"
561,the full monty,1997,"comedy, drama","Six unemployed steel workers form a male striptease act. The women cheer them on to go for ""the full monty"" - total nudity.",6.656454111774096,"the full monty english peter cattaneo comedy, drama robert carlyle, mark addy, wim snape, steve huison, tom wilkinson, paul barber, hugo speer, lesley sharp, emily woof, deirdre costello, paul butterworth, dave hill, bruce jones, andrew livingston, vinny dhillon"
562,the game,1997,"drama, mystery, thriller","After a wealthy banker is given an opportunity to participate in a mysterious game, his life is turned upside down when he becomes unable to distinguish between the game and reality.",7.46485098481789,"the game english, cantonese, german david fincher drama, mystery, thriller michael douglas, sean penn, deborah kara unger, james rebhorn, peter donat, carroll baker, anna katarina, armin mueller-stahl, charles martinet, scott hunter mcguire, florentine mocanu, elizabeth dennehy, caroline barclay, daniel schorr, john aprea"
