,title,year,genre,description,score,soup
2275,x-men: apocalypse,2016,"action, adventure, sci-fi","In the 1980s the X-Men must defeat an ancient all-powerful mutant, En Sabah Nur, who intends to thrive through bringing destruction to the world.",6.744524892644686,"x-men: apocalypse english, polish, german, arabic, egyptian (ancient) bryan singer action, adventure, sci-fi james mcavoy, michael fassbender, jennifer lawrence, nicholas hoult, oscar isaac, rose byrne, evan peters, josh helman, sophie turner, tye sheridan, lucas till, kodi smit-mcphee, ben hardy, alexandra shipp, lana condor"
2276,jack reacher: never go back,2016,"action, thriller",Jack Reacher must uncover the truth behind a major government conspiracy in order to clear his name while on the run as a fugitive from the law.,6.038073033534593,"jack reacher: never go back english, ukrainian edward zwick action, thriller tom cruise, cobie smulders, aldis hodge, danika yarosh, patrick heusinger, holt mccallany, robert knepper, judd lormand, christopher berry, hunter burke, jason douglas, lizeth hutchings, marisela zumbado, alexandra lucchesi, madalyn horcher"
2277,sicario,2015,"action, crime, drama",An idealistic FBI agent is enlisted by a government task force to aid in the escalating war against drugs at the border area between the U.S. and Mexico.,7.313202277384774,"sicario english, spanish denis villeneuve action, crime, drama emily blunt, benicio del toro, josh brolin, victor garber, jon bernthal, daniel kaluuya, jeffrey donovan, raoul max trujillo, julio cesar cedillo, hank rogerson, bernardo saracino, maximiliano hernández, kevin wiggins, edgar arreola, kim larrichio"
2278,murder on the orient express,2017,"crime, drama, mystery","When a murder occurs on the train on which he's travelling, celebrated detective Hercule Poirot is recruited to solve the case.",6.343225976976826,"murder on the orient express english, french, german, arabic kenneth branagh crime, drama, mystery paapa essiedu, yassine zeroual, asan n'jie, michael rouse, kenneth branagh, elliot levey, david annen, joseph long, andy apollo, hadley fraser, daisy ridley, leslie odom jr., ziad abaza, nari blair-mangat, luke brady"
2279,allegiant,2016,"action, adventure, mystery","After the earth-shattering revelations of Insurgent, Tris must escape with Four beyond the wall that encircles Chicago, to finally discover the shocking truth of the world around them.",5.794000237730394,"allegiant english robert schwentke action, adventure, mystery shailene woodley, theo james, naomi watts, octavia spencer, jeff daniels, zoë kravitz, ansel elgort, miles teller, keiynan lonsdale, daniel dae kim, maggie q, bill skarsgård, jonny weston, nadia hilker, andy bean"
2280,a monster calls,2016,"animation, drama, fantasy",A boy seeks the help of a tree monster to cope with his single mother's terminal illness.,6.730533685939169,"a monster calls english j.a. bayona animation, drama, fantasy lewis macdougall, sigourney weaver, felicity jones, toby kebbell, ben moor, james melville, oliver steer, dominic boyle, jennifer lim, max gabbay, morgan symes, max golds, frida palsson, wanda opalinska, patrick taggart"
2281,what we do in the shadows,2014,"comedy, horror","Viago, Deacon and Vladislav are vampires who are finding that modern life has them struggling with the mundane - like paying rent, keeping up with the chore wheel, trying to get into nightclubs and overcoming flatmate conflicts.",7.088437978698511,"what we do in the shadows english, german, spanish jemaine clement, taika waititi comedy, horror jemaine clement, taika waititi, jonny brugh, cori gonzalez-macuer, stu rutherford, ben fransham, jackie van beek, elena stejko, jason hoyte, karen o'leary, mike minogue, chelsie preston crayford, ian harcourt, ethel robinson, brad harding"
2282,war for the planet of the apes,2017,"action, adventure, drama","After the apes suffer unimaginable losses, Caesar wrestles with his darker instincts and begins his own mythic quest to avenge his kind.",7.030268969606459,"war for the planet of the apes english, american sign language matt reeves action, adventure, drama andy serkis, woody harrelson, steve zahn, karin konoval, amiah miller, terry notary, ty olsson, michael adamthwaite, toby kebbell, gabriel chavarria, judy greer, sara canning, devyn dalton, aleks paunovic, alessandro juliani"
2283,the hateful eight,2015,"crime, drama, mystery","In the dead of a Wyoming winter, a bounty hunter and his prisoner find shelter in a cabin currently inhabited by a collection of nefarious characters.",7.553854398784474,"the hateful eight english, spanish, french quentin tarantino crime, drama, mystery samuel l. jackson, kurt russell, jennifer jason leigh, walton goggins, demián bichir, tim roth, michael madsen, bruce dern, james parks, dana gourrier, zoë bell, lee horsley, gene jones, keith jefferson, craig stark"
2284,the lobster,2015,"comedy, drama, romance","In a dystopian near future, single people, according to the laws of The City, are taken to The Hotel, where they are obliged to find a romantic partner in forty-five days or are transformed into beasts and sent off into The Woods.",6.785414508079961,"the lobster english, french, greek yorgos lanthimos comedy, drama, romance jacqueline abrahams, roger ashton-griffiths, jessica barden, olivia colman, anthony dougall, sean duggan, colin farrell, roland ferrandi, james finnegan, robert heaney, rosanna hoult, jaro, ryac, ashley jensen, kathy kelly"
